Vivado Simulator 2020.1
Time resolution is 1 ps
Time=0 | PC=0 | Inst=00500e13 | LEDs=x | switches=0 | rst=1
Time=50000 | PC=0 | Inst=00500e13 | LEDs=0 | switches=0 | rst=1
Time=200000 | PC=0 | Inst=00500e13 | LEDs=0 | switches=0 | rst=0
Time=250000 | PC=4 | Inst=1ff00113 | LEDs=0 | switches=0 | rst=0
Time=350000 | PC=8 | Inst=30000293 | LEDs=0 | switches=0 | rst=0
Time=450000 | PC=12 | Inst=20000313 | LEDs=0 | switches=0 | rst=0
Time=550000 | PC=16 | Inst=01c2a023 | LEDs=0 | switches=0 | rst=0
Time=650000 | PC=20 | Inst=00032023 | LEDs=0 | switches=0 | rst=0
Time=750000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=850000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=950000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=0 | PC=0 | Inst=00500e13 | LEDs=x | switches=0 | rst=1
Time=50000 | PC=0 | Inst=00500e13 | LEDs=0 | switches=0 | rst=1
Time=200000 | PC=0 | Inst=00500e13 | LEDs=0 | switches=0 | rst=0
Time=250000 | PC=4 | Inst=1ff00113 | LEDs=0 | switches=0 | rst=0
Time=350000 | PC=8 | Inst=30000293 | LEDs=0 | switches=0 | rst=0
Time=450000 | PC=12 | Inst=20000313 | LEDs=0 | switches=0 | rst=0
Time=550000 | PC=16 | Inst=01c2a023 | LEDs=0 | switches=0 | rst=0
Time=650000 | PC=20 | Inst=00032023 | LEDs=0 | switches=0 | rst=0
Time=750000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=850000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=950000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=1050000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=1150000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=1250000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=1350000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=1450000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=1550000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=1650000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
